"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Go until jurong point, [[crazy]].. Available only in bugis [[n]] [[great]] world la e buffet... [[Cine]] there [[got]] amore [[wat]]...<SPLIT>","Go until jurong point, [[crɑzy]].. Available only in bugis [[nth]] [[phenomenal]] world la e buffet... [[Cinema]] there [[gt]] amore [[wɑt]]...<SPLIT>",0.06266021728515625,0.10054534673690796,0,0,0,74,"Failed"
"[[Ok]] [[lar]]... Joking wif u oni...<SPLIT>","[[O𝒌]] [[laⲅ]]... Joking wif u oni...<SPLIT>",0.06195688247680664,0.06232035160064697,0,0,0,17,"Failed"
"Free entry in [[2]] a wkly [[comp]] to win FA Cup final tkts 21st May [[2005]]. Text FA to [[87121]] to receive entry question(std [[txt]] rate)T&C's apply [[08452810075over18's]]<SPLIT>","Free entry in [[ᒿ]] a wkly [[ed]] to win FA Cup final tkts 21st May [[200Ƽ]]. Text FA to [[871ᒿ1]] to receive entry question(std [[tx𝚝]] rate)T&C's apply [[08452810075over1Ȣ's]]<SPLIT>",0.09483730792999268,0.5316490530967712,1,0,1,80,"Successful"
"U dun [[say]] so early [[hor]]... U c [[already]] then say...<SPLIT>","U dun [[said]] so early [[siao]]... U c [[ɑlready]] then say...<SPLIT>",0.06201207637786865,0.06399518251419067,0,0,0,40,"Failed"
"Nah [[I]] don't [[think]] he goes to usf, he lives around here [[though]]<SPLIT>","Nah [[ich]] don't [[believe]] he goes to usf, he lives around here [[thouɡh]]<SPLIT>",0.06198763847351074,0.06349611282348633,0,0,0,30,"Failed"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv<SPLIT>","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv<SPLIT>",0.7780083417892456,0.7780083417892456,0,0,1,1,"Skipped"
"[[Even]] my brother is not [[like]] to [[speak]] with me. [[They]] treat me [[like]] aids patent.<SPLIT>","[[Evеn]] my brother is not [[likе]] to [[speɑk]] with me. [[Thеy]] treat me [[lіke]] aids patent.<SPLIT>",0.06274837255477905,0.10135477781295776,0,0,0,63,"Failed"
"[[As]] per your request 'Melle Melle ([[Oru]] Minnaminunginte [[Nurungu]] Vettam)' has been set as your callertune for all Callers. Press *9 to copy your [[friends]] Callertune<SPLIT>","[[Oj]] per your request 'Melle Melle ([[Oⲅu]] Minnaminunginte [[Nuru]] [[ngu]] Vettam)' has been set as your callertune for all Callers. Press *9 to copy your [[friens]] Callertune<SPLIT>",0.23096990585327148,0.5260476469993591,0,1,0,52,"Successful"
"WINNER!! As a valued network customer you have been selected to receivea £[[900]] prize reward! To claim call [[09061701461]]. Claim code [[KL341]]. Valid 12 hours only.<SPLIT>","WINNER!! As a valued network customer you have been selected to receivea £[[৭00]] prize reward! To claim call [[09061701Ꮞ61]]. Claim code [[KL3Ꮞ1]]. Valid 12 hours only.<SPLIT>",0.09354650974273682,0.5389897227287292,1,0,1,46,"Successful"
"Had your mobile 11 months or more? U R entitled to Update to the latest [[colour]] mobiles with camera for Free! Call The Mobile Update Co FREE on [[08002986030]]<SPLIT>","Had your mobile 11 months or more? U R entitled to Update to the latest [[color]] mobiles with camera for Free! Call The Mobile Update Co FREE on [[0Ȣ002986030]]<SPLIT>",0.10073733329772949,0.5063103437423706,1,0,1,49,"Successful"
